date,emaxis-sp_start_100,rakuten-nasdaq_start_100
2025-10-21,142.28758169934642,151.59
2025-10-22,143.3756247597078,152.67
2025-10-23,143.12956555171087,151.70999999999998
2025-10-24,144.37139561707036,153.48
2025-10-27,145.80930411380237,155.39000000000001
2025-10-28,147.1856978085352,157.78
2025-10-29,146.5859284890427,157.94
2025-10-30,147.7431757016532,159.84
2025-10-31,147.52402921953095,158.82
2025-11-04,148.44675124951942,160.59
2025-11-05,145.86312956555173,156.37
2025-11-06,146.92425990003846,158.06
2025-11-07,144.52902729719338,154.23
2025-11-10,145.3748558246828,154.5
2025-11-11,148.04306036139948,158.35
2025-11-12,148.26989619377161,157.79000000000002
2025-11-13,149.0888119953864,158.46
2025-11-14,146.3514033064206,154.91
2025-11-17,146.26297577854672,154.98000000000002
2025-11-18,145.5363321799308,154.32
2025-11-19,144.53287197231833,152.68
2025-11-20,146.70895809304113,155.27
2025-11-21,144.62898885044214,151.79
2025-11-25,147.73164167627834,156.34
2025-11-26,148.61207227989235,156.76000000000002
2025-11-27,149.1926182237601,157.66
2025-11-28,149.8808150711265,158.39000000000001
2025-12-01,149.95386389850057,158.85
2025-12-02,149.0080738177624,158.10999999999999
2025-12-03,149.51172625913108,159.58
2025-12-04,149.45021145713187,159.35
2025-12-05,149.44636678200692,159.02
2025-12-08,149.86928104575162,159.84
2025-12-09,150.1191849288735,160.26
2025-12-10,150.8073817762399,161.4
2025-12-11,150.84967320261438,161.03
2025-12-12,151.01114955786238,160.3
2025-12-15,149.7039600153787,157.56
2025-12-16,148.62745098039215,155.85
2025-12-17,147.86236063052672,155.82
2025-12-18,147.02037677816224,153.73000000000002
2025-12-19,148.4159938485198,156.29
2025-12-22,151.42637447135715,160.12
2025-12-23,151.56478277585543,159.97
2025-12-24,151.74163783160324,160.22
2025-12-25,151.93771626297578,160.34
2025-12-26,152.51057285659363,160.94
2025-12-29,152.44136870434448,160.82
2025-12-30,151.99923106497502,160.17
2026-01-05,151.69934640522877,158.92
2026-01-06,152.09919261822375,159.56
2026-01-07,153.0065359477124,161.0
2026-01-08,152.66820453671664,161.29
2026-01-09,152.960399846213,160.66
2026-01-13,155.32871972318338,163.61
2026-01-14,155.98615916955018,164.32
2026-01-15,154.4944252210688,161.88
2026-01-16,155.08266051518646,162.59
2026-01-19,153.80238369857747,161.23000000000002
2026-01-20,154.4252210688197,161.88
2026-01-21,151.29950019223375,158.5
2026-01-22,153.07574009996154,160.67000000000002
2026-01-23,154.25605536332182,162.24
2026-01-26,150.64975009611686,158.92
2026-01-27,150.89580930411378,159.06
2026-01-28,149.68473663975394,158.51999999999998
2026-01-29,150.34217608612073,159.75
2026-01-30,150.6459054209919,159.42000000000002
2026-02-02,151.59938485198,159.06
2026-02-03,152.72587466359093,160.54
2026-02-04,151.89926951172626,158.51999999999998
2026-02-05,151.89158016147636,156.49
2026-02-06,150.0,154.31
2026-02-09,153.0949634755863,157.77
2026-02-10,153.05267204921185,158.18
2026-02-12,149.77316416762784,154.89
2026-02-13,147.07804690503653,151.37
2026-02-16,147.3048827374087,151.79
2026-02-17,147.5432525951557,152.04
2026-02-18,147.6163014225298,151.75
2026-02-19,149.94232987312571,154.51
2026-02-20,149.88465974625146,154.26
2026-02-24,149.08496732026146,153.42
2026-02-25,151.1764705882353,156.06
2026-02-26,152.72971933871588,158.6
2026-02-27,151.57247212610534,156.4
2026-03-02,151.63014225297962,156.67
2026-03-03,152.62975778546712,157.85
2026-03-04,151.38023836985775,156.31
2026-03-05,151.5032679738562,157.59
2026-03-06,151.46866589773165,157.98000000000002
2026-03-09,150.66897347174165,156.86
2026-03-10,150.9996155324875,157.95
2026-03-11,151.16878123798537,158.39000000000001
2026-03-12,151.8646674356017,159.3
2026-03-13,149.7193387158785,156.72
2026-03-16,148.98885044213762,155.92
2026-03-17,150.45367166474432,157.62
2026-03-18,150.6651287966167,158.24
2026-03-19,149.25797770088428,156.66
2026-03-23,146.27835447904653,152.93
2026-03-24,146.98577470203767,153.79
2026-03-25,146.61284121491732,152.78
2026-03-26,148.2083813917724,154.64
2026-03-27,145.70165321030373,151.02
2026-03-30,143.6178392925798,148.48
2026-03-31,142.95655517108804,147.23
2026-04-01,146.20146097654748,151.31
2026-04-02,147.1126489811611,152.96
2026-04-03,148.19684736639752,154.07999999999998
2026-04-06,148.26605151864666,154.14000000000001
2026-04-07,149.0080738177624,155.17000000000002
2026-04-08,148.00076893502498,154.06
2026-04-09,151.9684736639754,158.79000000000002
2026-04-10,153.279507881584,160.32
2026-04-13,153.67550941945404,161.12
2026-04-14,154.60592079969243,162.17
2026-04-15,156.11687812379853,164.76999999999998
2026-04-16,157.28565936178393,166.98999999999998
2026-04-17,158.29296424452133,168.42999999999998
2026-04-20,159.7846981930027,170.16
2026-04-21,159.40792003075742,169.64
2026-04-22,158.59669357939254,169.14000000000001
2026-04-23,160.41906958861975,172.23999999999998
2026-04-24,160.22683583237216,171.76
2026-04-27,161.22645136485966,174.78
2026-04-28,161.40330642060746,174.78
2026-04-30,161.40715109573242,174.95000000000002
2026-05-01,159.75778546712803,173.06
2026-05-07,162.44521337946944,179.44
2026-05-08,162.52210688196845,179.99
2026-05-11,163.87158785082661,184.17
2026-05-12,164.61745482506728,185.21
2026-05-13,164.75586312956557,184.04
2026-05-14,165.82083813917723,186.06
2026-05-15,167.80084582852749,188.21
2026-05-18,166.20530565167243,185.84
2026-05-19,166.14379084967322,185.07
2026-05-20,165.04036908881199,183.95999999999998
2026-05-21,166.73971549404075,186.91
2026-05-22,167.28565936178393,187.57999999999998
2026-05-25,167.62014609765475,188.04000000000002
2026-05-26,167.7354863514033,188.17
2026-05-27,169.10034602076124,191.86
2026-05-28,169.4809688581315,192.08
2026-05-29,170.16532103037295,193.35999999999999
2026-06-01,170.61899269511727,194.15
2026-06-02,171.3994617454825,195.67000000000002
2026-06-03,171.8723567858516,196.89000000000001
2026-06-04,170.61130334486737,196.32
2026-06-05,171.3840830449827,195.38
2026-06-08,167.22798923490964,186.46
2026-06-09,167.66628219915418,189.34
2026-06-10,167.37408688965783,187.35999999999999
2026-06-11,164.8327566320646,183.83
2026-06-12,167.27028066128412,189.38
2026-06-15,168.11610918877355,190.6
2026-06-16,171.03806228373702,196.58
2026-06-17,170.26143790849673,193.09
2026-06-18,168.56209150326796,191.59
2026-06-19,170.77277970011536,196.77
2026-06-22,171.22645136485968,197.3
2026-06-23,170.63052672049213,196.96
2026-06-24,168.21607074202228,190.51
2026-06-25,168.21607074202228,189.87
2026-06-26,168.28911956939638,191.39
2026-06-29,168.06228373702425,189.12
2026-06-30,170.69973087274127,194.14000000000001
2026-07-01,172.42599000384467,197.84
2026-07-02,171.98000768935026,194.70000000000002
2026-07-03,170.5190311418685,189.92
2026-07-06,170.84967320261438,190.29
2026-07-07,172.70280661284121,193.37
2026-07-08,172.1760861207228,190.22
2026-07-09,171.8723567858516,190.94
2026-07-10,172.84890426758938,193.56
2026-07-13,173.57939254133026,194.18
2026-07-14,172.42599000384467,190.78
2026-07-15,172.8950403690888,192.68
2026-07-16,173.61783929257976,192.19
2026-07-17,173.041138023837,189.42000000000002
2026-07-21,171.0073048827374,186.71
2026-07-22,173.22183775470972,191.07
2026-07-23,172.8950403690888,189.94
2026-07-24,171.7377931564783,187.39
2026-07-27,171.49942329873124,184.88
2026-07-28,171.6647443291042,184.44
2026-07-29,171.8877354863514,182.49
