date,rakuten-sp_start_100,rakuten-nasdaq_start_100
2024-09-11,108.34485141672425,106.74
2024-09-12,110.06392536281963,109.61000000000001
2024-09-13,109.88251554941257,109.66
2024-09-17,110.04664823773325,109.08
2024-09-18,110.74637180373186,109.79
2024-09-19,111.99896337249481,110.84
2024-09-20,113.19972356599861,112.99999999999999
2024-09-24,114.0722183828611,113.84
2024-09-25,114.03766413268832,114.04
2024-09-26,114.83241188666207,115.21
2024-09-27,116.04181064270904,116.78
2024-09-30,113.65756738078782,113.92
2024-10-01,115.24706288873531,115.31
2024-10-02,114.0463026952315,113.53
2024-10-03,116.5946786454734,116.24000000000001
2024-10-04,116.08500345542501,115.87
2024-10-07,118.53835521769179,118.67000000000002
2024-10-08,116.96613683483068,116.84
2024-10-09,118.37422252937111,118.93
2024-10-10,120.14512785072564,120.83
2024-10-11,119.28127159640636,120.02999999999999
2024-10-15,121.79509329647547,122.05999999999999
2024-10-16,120.5597788527989,120.09
2024-10-17,121.40635798203179,120.44999999999999
2024-10-18,121.79509329647547,120.94
2024-10-21,121.70006910850036,121.17
2024-10-22,122.55528680027643,122.46
2024-10-23,123.00449205252247,123.10000000000001
2024-10-24,123.01313061506565,122.32000000000001
2024-10-25,122.77988942639946,122.83
2024-10-28,123.78196268140982,124.6
2024-10-29,123.69557705597789,124.18
2024-10-30,124.19661368348306,125.72000000000001
2024-10-31,124.058396682792,124.99
2024-11-01,120.49067035245335,120.67000000000002
2024-11-05,120.95715272978576,121.41999999999999
2024-11-06,122.77988942639946,123.36
2024-11-07,127.34968901174844,128.22
2024-11-08,127.05597788527989,128.94
2024-11-11,127.56565307532826,129.06
2024-11-12,128.2653766413269,129.58
2024-11-13,128.8441603317208,130.32
2024-11-14,129.55252246026262,130.78
2024-11-15,129.65618521078093,130.8
2024-11-18,125.93296475466482,125.64
2024-11-19,126.55494125777471,126.64999999999999
2024-11-20,127.40152038700761,127.89999999999999
2024-11-21,127.59156876295785,127.97
2024-11-22,127.78161713890808,127.94000000000001
