date,sbi-sp_start_100,fang_start_100
2024-04-01,122.07622048001525,131.94929172654486
2024-04-02,122.17909655253818,133.1323136932868
2024-04-03,121.25321358453532,131.58489016629028
2024-04-04,121.47299352188223,132.55491685485526
2024-04-05,119.39209554743589,130.17604188051735
2024-04-08,121.29997526467913,132.80897146376515
2024-04-09,121.49169836658322,133.23752822828988
2024-04-10,121.51507944393384,133.23239581194827
2024-04-11,121.28127106442498,133.6198932457401
2024-04-12,122.21650611717136,137.10737014986657
2024-04-15,120.84171097233522,135.45729829603778
2024-04-16,120.06078954143318,132.68835967973723
2024-04-17,120.1356078236517,132.8397659618148
2024-04-18,119.15828783502118,130.85095462943954
2024-04-19,119.12087809055538,130.19657154588378
2024-04-22,118.152910173653,125.3387394785465
2024-04-23,119.21440182629861,126.3523917060152
2024-04-24,120.72012979141356,129.11363169780333
2024-04-25,121.15501440137673,130.54300964894273
2024-04-26,120.8323580016734,130.02720180661055
2024-04-30,123.34813965318216,136.05522479983577
2024-05-01,122.23053396600334,133.61732703756928
2024-05-02,120.43488308297432,131.548963251899
2024-05-07,122.68412375508314,137.18179018681994
2024-05-08,123.52115949938569,137.1920550195032
2024-05-09,124.08230006924069,137.68220078012726
2024-05-10,124.83048779972918,137.40248408950936
2024-05-13,125.20925845225015,137.62317799219872
2024-05-14,125.52256206711971,138.6676247177171
2024-05-15,126.25204522315214,140.33052761239992
2024-05-16,125.67219987993307,139.84808047628823
2024-05-17,126.76642521084362,140.79501129131594
2024-05-20,127.22469090863784,141.00800656949292
2024-05-21,127.81856558782407,142.70940258673784
2024-05-22,128.02899329235132,143.6281051118867
2024-05-23,128.14122094729152,143.1944159310203
2024-05-24,127.38368080294416,142.48614247587764
2024-05-27,128.0102887718347,144.36973927324985
2024-05-28,128.07107957786954,144.42876206117842
2024-05-29,128.54337370158285,145.69646889755697
2024-05-30,127.82324287169686,145.44498049681792
2024-05-31,126.26140006639346,142.01396017244917
2024-06-03,127.71569023588418,141.20303839047423
2024-06-04,127.27612986764242,141.62133032231574
2024-06-05,126.48117970638602,140.91818928351466
2024-06-06,128.37970648219178,144.47495380825293
2024-06-07,128.37970648219178,144.44929172654486
2024-06-10,129.19336037251406,145.20632313693287
2024-06-11,129.876081393469,145.776021350852
2024-06-12,130.07248130251304,147.29008417162802
2024-06-13,130.88613540132798,149.56374461096286
2024-06-14,131.48468555168634,152.1864093615274
2024-06-17,131.76993237306274,153.47721207144323
2024-06-18,132.99041447608718,156.39499076165058
2024-06-19,133.52349857308968,156.01519195237117
2024-06-20,133.6918409943857,156.2102237733525
2024-06-21,134.11269622524398,155.22223362759186
2024-06-24,134.4727619920695,155.18630671320057
2024-06-25,133.84615388410458,152.337815643605
2024-06-26,134.58499000739099,154.82190515294602
2024-06-27,135.57166352368287,158.46848696366249
2024-06-28,136.02525241691723,160.04413878053788
2024-07-01,135.59036880292015,158.6301580784233
2024-07-02,136.30114707522193,162.70016423732295
2024-07-03,137.09142112596408,165.34335865325397
2024-07-04,137.59177191113278,167.98911927735577
2024-07-05,137.33458261924105,167.67347567234654
2024-07-08,137.8068762488686,169.52627797166906
2024-07-09,138.09212270201613,169.74697187435845
2024-07-10,138.75614005495,170.76319030999792
2024-07-11,140.23848716233246,172.31574625333607
2024-07-12,136.79682292725317,163.56754259905563
2024-07-16,137.47954440721384,163.4084376924656
2024-07-17,138.34931286929242,163.19544241428866
2024-07-18,134.11269858451436,155.18374050502976
2024-07-19,134.50082073421794,156.19995894066926
2024-07-22,133.64508078242778,154.41644426195853
2024-07-23,134.3465076337587,156.89026893861632
2024-07-24,133.38321496125803,156.2897762266475
2024-07-25,128.26280273557836,145.2987066310819
2024-07-26,128.2581262737906,145.19092588790804
2024-07-29,129.37573167386506,145.7785875590228
2024-07-30,129.74047291162933,147.12071443235476
2024-07-31,127.68763222310464,142.96345719564772
2024-08-01,127.29951034244667,145.14730034900433
2024-08-02,125.48983068737924,141.1542804352289
2024-08-05,119.88309689496228,133.37866967768426
2024-08-06,115.91302428156934,127.68168753849312
2024-08-07,118.71872917169104,131.19226031615685
2024-08-08,117.22702952683603,128.74923013754875
2024-08-09,121.14566419083144,134.61301580784232
2024-08-13,121.45896747319185,135.79860398275508
2024-08-14,123.28735246922888,139.81728597823854
2024-08-15,123.9046078595954,139.95329501129132
2024-08-16,127.50993829438902,145.17296243071237
2024-08-19,126.7523979256839,144.45955655922808
2024-08-20,126.68693157967925,145.48090741120922
2024-08-21,125.74702096438057,144.51088072264423
