date,rakuten-orcan_start_100,rakuten-sp_start_100
2024-08-01,129.47400241837968,133.98058252427185
2024-08-02,127.15638855300281,132.05906148867314
2024-08-05,121.01975010076582,126.12257281553399
2024-08-06,118.08746473196292,121.9457928802589
2024-08-07,120.63683998387746,124.94943365695792
2024-08-08,119.68964127367995,123.29085760517799
2024-08-09,123.05521966948811,127.38673139158576
2024-08-13,123.65981459089078,127.74069579288026
2024-08-14,125.31237404272471,129.69255663430422
2024-08-15,125.96735187424426,130.42071197411002
2024-08-16,129.35308343409915,134.14239482200648
2024-08-19,128.80894800483676,133.34344660194176
2024-08-20,128.85933091495366,133.29288025889966
2024-08-21,127.86174929463925,132.27144012944984
2024-08-22,128.26481257557435,132.64563106796118
2024-08-23,128.1136638452237,132.26132686084142
2024-08-26,127.28738411930674,131.29045307443366
2024-08-27,127.99274486094316,132.05906148867314
2024-08-28,127.76098347440548,131.73543689320388
2024-08-29,127.32769044740024,131.18932038834953
2024-08-30,127.72067714631197,131.44215210355986
2024-09-02,129.81660620717452,134.10194174757282
2024-09-03,130.61265618702137,134.9413430420712
2024-09-04,126.55179363160016,130.52184466019418
2024-09-05,124.87908101571948,128.87338187702267
2024-09-06,124.11326078194276,128.00364077669903
2024-09-09,121.77549375251915,125.40453074433657
2024-09-10,123.48851269649334,127.53843042071198
2024-09-11,122.4304715840387,126.8406148867314
2024-09-12,124.1434905280129,128.85315533980582
2024-09-13,124.09310761789601,128.64077669902915
2024-09-17,124.30471584038693,128.83292880258898
2024-09-18,125.16122531237403,129.65210355987057
2024-09-19,126.51148730350666,131.1185275080906
2024-09-20,128.0128980249899,132.5242718446602
2024-09-24,128.78879484079,133.54571197411002
2024-09-25,129.39338976219267,133.50525889967636
2024-09-26,130.16928657799275,134.43567961165047
2024-09-27,132.29544538492544,135.8515372168285
2024-09-30,129.59492140266022,133.06027508090614
2024-10-01,130.85449415558244,134.92111650485435
2024-10-02,129.695687222894,133.51537216828478
2024-10-03,132.72873841193066,136.49878640776697
2024-10-04,131.90245868601372,135.90210355987057
2024-10-07,134.37122128174124,138.7742718446602
2024-10-08,133.1217251108424,136.9336569579288
2024-10-09,133.73639661426844,138.58211974110034
2024-10-10,135.3284965739621,140.65533980582526
2024-10-11,134.56267634018542,139.6440129449838
2024-10-15,136.97097944377268,142.58697411003237
2024-10-16,135.39903264812577,141.14077669902915
2024-10-17,136.08424022571543,142.13187702265373
2024-10-18,136.58806932688432,142.58697411003237
2024-10-21,136.62837565497782,142.4757281553398
2024-10-22,137.19266424828697,143.47694174757282
2024-10-23,137.47480854494157,144.00283171521036
2024-10-24,137.6864167674325,144.01294498381878
2024-10-25,137.33373639661426,143.73988673139158
2024-10-28,138.42200725513908,144.91302588996763
2024-10-29,138.48246674727932,144.8118932038835
2024-10-30,138.86537686416767,145.3984627831715
2024-10-31,138.4522370012092,145.2366504854369
2024-11-01,135.01612253123741,141.0598705501618
2024-11-05,135.80209592906087,141.6059870550162
2024-11-06,137.5957275292221,143.73988673139158
2024-11-07,141.062071745264,149.0898058252427
2024-11-08,141.062071745264,148.74595469255664
2024-11-11,140.91092301491335,149.34263754045307
2024-11-12,141.68681983071343,150.16181229773463
2024-11-13,141.58605401047964,150.83940129449837
2024-11-14,142.049576783555,151.66868932038835
2024-11-15,142.43248690044337,151.79004854368932
2024-11-18,138.87545344619105,147.4312297734628
2024-11-19,139.68158000806125,148.1593851132686
2024-11-20,140.45747682386133,149.1504854368932
2024-11-21,140.49778315195485,149.37297734627833
2024-11-22,140.5179363160016,149.59546925566343
2024-11-25,140.99153567110037,149.85841423948222
2024-11-26,141.08222490931078,150.30339805825244
2024-11-27,140.2559451833938,149.82807443365695
2024-11-28,139.1273679967755,148.17961165048544
2024-11-29,138.2305521966949,147.17839805825244
2024-12-02,138.4522370012092,147.5121359223301
2024-12-03,138.69407496977027,147.62338187702267
2024-12-04,138.84522370012093,147.55258899676375
2024-12-05,140.10479645304312,149.0088996763754
2024-12-06,139.82265215638856,148.43244336569578
2024-12-09,139.88311164852882,148.59425566343043
2024-12-10,140.95122934300684,149.37297734627833
2024-12-11,140.66908504635228,149.24150485436894
2024-12-12,142.02942361950826,151.00121359223303
2024-12-13,141.85812172511086,150.78883495145632
2024-12-16,142.503022974607,151.68891585760517
2024-12-17,143.10761789600969,152.63956310679612
2024-12-18,141.97904070939137,151.50687702265373
2024-12-19,139.621120515921,148.18972491909386
2024-12-20,141.60620717452642,150.9304207119741
2024-12-23,141.57597742845627,151.39563106796118
2024-12-24,142.99677549375252,153.21601941747574
2024-12-25,144.1354292623942,154.834142394822
2024-12-26,144.26642482869812,154.8847087378641
2024-12-27,144.9415558242644,155.57241100323625
2024-12-30,143.94397420395,153.86326860841424
2025-01-06,142.84562676340184,152.72046925566343
2025-01-07,144.37726723095525,154.0554207119741
2025-01-08,143.04715840386942,152.22491909385113
2025-01-09,143.2285368802902,152.7710355987055
2025-01-10,142.97662232970575,152.538430420712
2025-01-14,140.23579201934703,149.8685275080906
2025-01-15,141.1124546553809,150.53600323624596
2025-01-16,141.82789197904071,151.72936893203882
2025-01-17,140.90084643288995,150.24271844660194
2025-01-20,142.83555018137847,152.54854368932038
2025-01-21,143.2285368802902,152.5687702265372
2025-01-22,143.94397420395,153.36771844660194
2025-01-23,145.42523176138653,155.2588996763754
2025-01-24,145.90890769850867,155.91626213592232
2025-01-27,145.23377670294235,154.7532362459547
2025-01-28,143.15800080612658,152.0529935275081
2025-01-29,144.6795646916566,153.9745145631068
2025-01-30,143.57114066908505,152.3462783171521
2025-01-31,144.0447400241838,152.83171521035598
2025-02-03,144.0850463522773,153.31715210355986
2025-02-04,142.92623941958888,151.81027508090614
2025-02-05,142.97662232970575,151.6484627831715
2025-02-06,142.26118500604593,150.79894822006472
2025-02-07,141.68681983071343,150.06067961165047
2025-02-10,141.19306731156792,149.2819579288026
2025-02-12,143.28899637243046,151.6484627831715
2025-02-13,144.43772672309552,152.4777508090615
2025-02-14,144.397420395002,152.37661812297733
2025-02-17,143.7726723095526,151.4866504854369
2025-02-18,143.71221281741234,151.25404530744336
2025-02-19,144.47803305118904,152.12378640776697
2025-02-20,143.37968561064088,151.46642394822007
2025-02-21,141.8782748891576,149.5651294498382
2025-02-25,139.88311164852882,146.6626213592233
2025-02-26,138.26078194276502,144.6905339805825
2025-02-27,138.89560661023782,145.0242718446602
2025-02-28,137.15235792019348,143.14320388349515
2025-03-03,139.23821039903265,146.288430420712
2025-03-04,136.74929463925835,142.48584142394822
2025-03-05,135.9633212414349,141.3228155339806
2025-03-06,137.44457879887142,142.31391585760517
2025-03-07,134.71382507053607,138.67313915857605
2025-03-10,134.53244659411527,138.80461165048544
2025-03-11,130.80411124546555,134.43567961165047
2025-03-12,131.1870213623539,134.69862459546925
2025-03-13,132.05360741636437,135.55825242718447
2025-03-14,130.66303909713827,133.7378640776699
2025-03-17,133.50463522773074,137.04490291262138
2025-03-18,135.27811366384523,138.58211974110034
2025-03-19,134.7541313986296,137.24716828478964
2025-03-21,134.79443772672312,137.8640776699029
2025-03-24,135.1975010076582,138.6529126213592
2025-03-25,137.84764207980652,142.18244336569578
2025-03-26,137.44457879887142,141.70711974110034
2025-03-27,136.52760983474406,140.48341423948222
2025-03-28,136.5477629987908,140.50364077669903
2025-03-31,132.93027005239824,136.27629449838187
2025-04-01,133.04111245465538,137.32807443365695
2025-04-02,133.73639661426844,137.8640776699029
2025-04-03,132.60781942765016,136.92354368932038
2025-04-04,126.22934300685206,128.72168284789643
2025-04-07,118.87343812978636,120.84344660194175
2025-04-08,118.62152357920192,122.19862459546927
2025-04-09,115.8806932688432,118.34546925566343
2025-04-10,124.44578798871422,130.95671521035598
2025-04-11,120.17331721080208,123.54368932038835
2025-04-14,121.78557033454251,125.51577669902913
2025-04-15,123.5086658605401,126.87095469255662
2025-04-16,123.16606207174527,126.04166666666667
2025-04-17,121.1608222490931,122.8661003236246
2025-04-18,121.40266021765417,122.97734627831716
2025-04-21,120.49576783555018,121.91545307443366
2025-04-22,118.49052801289804,118.81067961165049
2025-04-23,121.50342603788795,122.78519417475728
2025-04-24,124.1031841999194,125.58656957928802
2025-04-25,126.13865376864169,128.26658576051778
2025-04-28,127.37807335751714,129.70266990291262
2025-04-30,127.40830310358726,129.5509708737864
2025-05-01,128.09351068117692,130.19822006472492
2025-05-02,131.00564288593307,133.69741100323625
2025-05-07,129.5143087464732,131.06796116504856
2025-05-08,130.21966948810964,132.20064724919095
2025-05-09,132.55743651753323,134.98179611650485
2025-05-12,132.86981056025795,135.03236245954693
2025-05-13,137.77710600564288,141.31270226537217
2025-05-14,138.19024586860138,141.78802588996763
2025-05-15,137.42442563482467,140.92839805825244
2025-05-16,136.9105199516324,140.38228155339806
2025-05-19,137.5050382910117,141.23179611650485
2025-05-20,138.01894397420395,141.74757281553397
2025-05-21,137.0515920999597,140.1901294498382
2025-05-22,134.8347440548166,137.05501618122977
2025-05-23,135.04635227730753,137.52022653721681
2025-05-26,133.57517130189441,135.49757281553397
2025-05-27,133.5348649738009,135.14360841423948
2025-05-28,136.70898831116486,139.5631067961165
2025-05-29,137.77710600564288,140.69579288025892
2025-05-30,136.4268440145103,139.1484627831715
2025-06-02,136.07416364369206,138.915857605178
2025-06-03,135.82224909310762,138.73381877022655
2025-06-04,137.44457879887142,140.67556634304208
2025-06-05,136.63845223700122,139.45186084142395
2025-06-06,137.38411930673115,139.73503236245955
2025-06-09,139.33897621926644,142.30380258899675
2025-06-10,139.3893591293833,142.2532362459547
2025-06-11,140.1652559451834,143.26456310679612
2025-06-12,139.41958887545346,142.06108414239483
2025-06-13,138.66384522370012,141.57564724919095
2025-06-16,138.51269649334944,141.31270226537217
2025-06-17,140.28617492946393,143.30501618122977
2025-06-18,139.4296654574768,142.39482200647248
2025-06-19,138.8553002821443,141.91949838187702
2025-06-20,138.90568319226117,142.34425566343043
2025-06-23,139.73196291817814,143.15331715210357
2025-06-24,140.10479645304312,143.76011326860842
2025-06-25,141.2434502216848,144.71076051779934
2025-06-26,141.08222490931078,144.4478155339806
2025-06-27,141.89842805320436,145.3883495145631
2025-06-30,142.8657799274486,146.3794498381877
2025-07-01,142.36195082627972,146.00525889967636
2025-07-02,142.21080209592907,145.86367313915858
2025-07-03,142.75493752519145,146.49069579288025
2025-07-04,144.58887545344618,148.75606796116506
2025-07-07,144.1757355904877,148.5234627831715
2025-07-08,144.97178557033453,149.0796925566343
2025-07-09,145.77791213220473,149.7876213592233
2025-07-10,145.52599758162032,149.66626213592232
2025-07-11,146.56388553002822,150.88996763754045
2025-07-14,146.3522773075373,150.75849514563106
2025-07-15,147.13825070536075,151.66868932038835
2025-07-16,147.95445384925435,152.45752427184468
2025-07-17,147.71261588069328,152.39684466019418
2025-07-18,148.70012091898428,153.39805825242718
2025-07-22,147.94437726723095,152.35639158576052
2025-07-23,147.31962918178155,151.4259708737864
2025-07-24,148.72027408303103,152.63956310679612
2025-07-25,149.5969367190649,153.70145631067962
2025-07-28,150.10076582023376,154.68244336569578
2025-07-29,150.3627569528416,155.52184466019418
2025-07-30,149.84885126964934,154.7532362459547
2025-07-31,150.54413542926238,155.7544498381877
2025-08-01,151.19911326078196,156.64441747572815
2025-08-04,146.16082224909312,150.9203074433657
2025-08-05,147.3901652559452,152.46763754045307
2025-08-06,147.85368802902056,152.39684466019418
2025-08-07,148.8613462313583,153.5497572815534
2025-08-08,148.94195888754533,153.01375404530745
2025-08-12,150.53405884723904,155.08697411003237
2025-08-13,151.38049173720273,156.19943365695792
2025-08-14,150.91696896412736,155.48139158576052
2025-08-15,151.87424425634825,156.56351132686083
2025-08-18,151.66263603385732,155.97694174757282
2025-08-19,151.96493349455864,156.39158576051778
2025-08-20,151.14873035066506,155.3094660194175
2025-08-21,150.6348246674728,154.68244336569578
2025-08-22,151.27972591696897,155.15776699029126
2025-08-25,152.2067714631197,156.3814724919094
2025-08-26,151.38049173720273,155.41059870550163
2025-08-27,151.8540910923015,156.4724919093851
2025-08-28,152.01531640467553,156.70509708737862
2025-08-29,151.8440145102781,156.6747572815534
2025-09-01,151.39056831922613,156.06796116504856
2025-09-02,151.63240628778718,156.12864077669903
2025-09-03,151.8037081821846,156.6039644012945
2025-09-04,151.83393792825473,156.5938511326861
2025-09-05,153.0632809351068,158.15129449838187
2025-09-08,153.36557839580814,157.90857605177993
2025-09-09,152.85167271261588,157.06917475728156
2025-09-10,153.34542523176137,157.65574433656957
2025-09-11,153.869407496977,158.17152103559872
2025-09-12,154.79645304312777,159.23341423948222
2025-09-16,155.84441757355904,160.19417475728156
2025-09-17,154.7863764611044,158.93001618122977
2025-09-18,155.14913341394598,159.2435275080906
2025-09-19,156.7613865376864,161.17516181229774
2025-09-22,157.3962112051592,162.2168284789644
2025-09-24,157.07376058041112,161.5594660194175
2025-09-25,157.56751309955663,162.10558252427185
2025-09-26,157.64812575574365,162.40898058252426
2025-09-29,157.7186618299073,162.73260517799352
2025-09-30,157.9806529625151,162.80339805825244
2025-10-01,157.7488915759774,162.69215210355986
2025-10-02,157.42644095122935,162.17637540453075
2025-10-03,158.20233776702943,162.52022653721681
2025-10-06,161.09431680773883,165.16990291262138
2025-10-07,162.1825876662636,166.5453074433657
2025-10-08,163.46231358323257,167.94093851132686
2025-10-09,164.75211608222492,169.3972491909385
2025-10-10,164.39943571140668,169.3163430420712
2025-10-14,161.7795243853285,166.64644012944984
2025-10-15,160.82224909310762,165.50364077669903
2025-10-16,160.98347440548167,165.15978964401293
2025-10-17,160.03627569528416,163.51132686084142
2025-10-20,161.10439338976218,165.2811488673139
2025-10-21,162.34381297863766,166.5554207119741
2025-10-22,163.43208383716242,167.8296925566343
2025-10-23,163.24062877871825,167.54652103559872
2025-10-24,164.5908907698509,169.00283171521036
2025-10-27,166.09230149133413,170.69174757281553
2025-10-28,167.27126158806934,172.2997572815534
2025-10-29,166.434905280129,171.5918284789644
2025-10-30,167.72470777912133,172.9470064724919
2025-10-31,167.81539701733172,172.68406148867314
2025-11-04,168.34945586457073,173.76618122977345
2025-11-05,165.46755340588473,170.7423139158576
2025-11-06,166.6968964127368,171.98624595469255
2025-11-07,164.58081418782749,169.1747572815534
2025-11-10,165.28617492946393,170.165857605178
2025-11-11,168.06731156791616,173.290857605178
2025-11-12,168.7222893994357,173.56391585760517
2025-11-13,169.9113260781943,174.51456310679612
2025-11-14,167.4727932285369,171.3086569579288
2025-11-17,166.80773881499397,171.21763754045307
2025-11-18,165.92099959693672,170.35800970873788
2025-11-19,164.51027811366384,169.1848705501618
2025-11-20,166.6465135026199,171.73341423948222
2025-11-21,165.21563885530028,169.29611650485435
2025-11-25,167.0092704554615,172.92677993527508
2025-11-26,168.1882305521967,173.95833333333331
2025-11-27,169.16565900846433,174.6359223300971
2025-11-28,169.9012494961709,175.44498381877023
2025-12-01,169.72994760177346,175.53600323624596
2025-12-02,168.8935912938331,174.4336569579288
2025-12-03,169.5384925433293,175.02022653721681
2025-12-04,169.64933494558645,174.92920711974108
2025-12-05,169.68964127367997,174.92920711974108
2025-12-08,170.20354695687223,175.4247572815534
2025-12-09,170.59653365578396,175.7180420711974
2025-12-10,171.24143490528013,176.51699029126212
2025-12-11,171.1708988311165,176.56755663430422
2025-12-12,171.5739621120516,176.76982200647248
2025-12-15,170.69729947601772,175.23260517799352
2025-12-16,169.36719064893188,173.96844660194176
2025-12-17,168.25876662636034,173.06836569579286
2025-12-18,167.875856509472,172.0873786407767
2025-12-19,169.316807738815,173.7257281553398
2025-12-22,172.50100765820233,177.24514563106797
2025-12-23,172.7428456267634,177.4069579288026
2025-12-24,172.95445384925435,177.61933656957927
2025-12-25,172.99476017734784,177.8418284789644
2025-12-26,173.63966142684401,178.51941747572815
2025-12-29,173.6497380088674,178.42839805825244
2025-12-30,173.31721080209593,177.9126213592233
2026-01-05,174.0628778718259,177.5687702265372
2026-01-06,175.0,178.03398058252426
2026-01-07,175.87666263603384,179.09587378640776
2026-01-08,175.41313986295847,178.6913430420712
2026-01-09,175.5844417573559,179.0453074433657
2026-01-13,178.55703345425232,181.8163430420712
2026-01-14,179.49415558242646,182.58495145631068
2026-01-15,178.39580814187826,180.84546925566343
2026-01-16,178.88956066102378,181.52305825242718
2026-01-19,177.69044740024185,180.02629449838187
2026-01-20,177.9826682789198,180.76456310679612
2026-01-21,175.42321644498188,177.10355987055016
2026-01-22,176.7936316001612,179.1868932038835
2026-01-23,178.48649738008868,180.56229773462783
2026-01-26,174.73800886739218,176.33495145631068
2026-01-27,174.82869810560257,176.6282362459547
2026-01-28,174.15356711003628,175.2123786407767
2026-01-29,174.97984683595325,175.9809870550162
2026-01-30,175.21160822249092,176.33495145631068
2026-02-02,175.66505441354292,177.44741100323625
2026-02-03,176.81378476420798,178.7621359223301
2026-02-04,176.82386134623135,177.79126213592232
2026-02-05,176.98508665860538,177.7811488673139
2026-02-06,174.92946392583636,175.5663430420712
2026-02-09,178.03305118903668,179.1970064724919
2026-02-10,178.84925433293026,179.14644012944984
2026-02-12,175.87666263603384,175.30339805825244
2026-02-13,173.2869810560258,172.14805825242718
