äÓèÄì˙,äÓèÄâøäz(â~),ï™îzã‡çƒìäéëäÓèÄâøäz(â~),èÉéëéYëçäz(â≠â~),ï™îzã‡(â~)
2017/07/19,7925,7925,116.11,
2017/07/20,8061,8061,118.54,
2017/07/21,8043,8043,117.62,
2017/07/24,7801,7801,116.48,
2017/07/25,7768,7768,121.43,
2017/07/26,7969,7969,125.64,
2017/07/27,7986,7986,119.20,
2017/07/28,7814,7814,115.22,
2017/07/31,7796,7796,118.84,
2017/08/01,7863,7863,121.26,
2017/08/02,8015,8015,123.42,
2017/08/03,7911,7911,117.22,
2017/08/04,7809,7809,115.82,
2017/08/07,7959,7959,121.12,
2017/08/08,7857,7857,116.43,
2017/08/09,7434,7434,110.01,
2017/08/10,7402,7402,119.11,
2017/08/14,7110,7110,115.81,
2017/08/15,7437,7437,132.47,
2017/08/16,7420,7420,124.33,
2017/08/17,7339,7339,124.91,
2017/08/18,6954,6954,119.93,
2017/08/21,6831,6831,132.05,
2017/08/22,6800,6800,132.60,
2017/08/23,6922,6922,130.15,
2017/08/24,6769,6769,127.15,
2017/08/25,6964,6964,131.60,
2017/08/28,6933,6933,131.67,
2017/08/29,6856,6856,130.71,
2017/08/30,7068,7068,146.50,
2017/08/31,7332,7332,151.54,
2017/09/01,7331,7331,128.82,
2017/09/04,6976,6976,121.51,
2017/09/05,6924,6924,125.65,
2017/09/06,6774,6774,129.24,
2017/09/07,6850,6850,133.50,
2017/09/08,6681,6681,129.62,
2017/09/11,7084,7084,152.29,
2017/09/12,7428,7428,134.35,
2017/09/13,7526,7526,129.30,
2017/09/14,7525,7525,118.47,
2017/09/15,7688,7688,118.44,
2017/09/19,8286,8286,125.33,
2017/09/20,8267,8267,114.01,
2017/09/21,8409,8409,112.74,
2017/09/22,8337,8337,108.16,
2017/09/25,8496,8496,110.94,
2017/09/26,8280,8280,107.46,
2017/09/27,8581,8581,110.76,
2017/09/28,8707,8707,114.98,
2017/09/29,8652,8652,112.03,
2017/10/02,8743,8743,113.51,
2017/10/03,9092,9092,112.70,
2017/10/04,9148,9148,112.54,
2017/10/05,9167,9167,113.14,
2017/10/06,9300,9300,113.37,
2017/10/10,9530,9530,116.31,
2017/10/11,9608,9608,116.48,
2017/10/12,9766,9766,118.93,
2017/10/13,10186,10186,120.94,
2017/10/16,10413,10413,115.45,
2017/10/17,10581,10581,117.84,
2017/10/18,10580,10580,116.85,
2017/10/19,10836,10836,119.22,
2017/10/20,10792,10792,117.94,
2017/10/23,11418,11418,120.92,
2017/10/24,11575,11575,124.16,
2017/10/25,11460,11460,123.64,
2017/10/26,11482,11482,127.02,
2017/10/27,12115,12115,136.25,
2017/10/30,12043,12043,140.25,
2017/10/31,11878,11878,145.25,
2017/11/01,13003,13003,162.15,
2017/11/02,13127,13127,160.06,
2017/11/06,13428,13428,162.38,
2017/11/07,14416,14416,181.69,
2017/11/08,14281,14281,181.40,
2017/11/09,14174,14174,187.14,
2017/11/10,13169,13169,172.11,
2017/11/13,12552,12552,163.33,
2017/11/14,12920,12920,160.98,
2017/11/15,11960,11960,148.64,
2017/11/16,12818,12818,162.17,
2017/11/17,12916,12916,169.45,
2017/11/20,12399,12399,161.35,
2017/11/21,12903,12903,170.95,
2017/11/22,13223,13223,175.30,
2017/11/24,13222,13222,181.00,
2017/11/27,13020,13020,186.43,
2017/11/28,13019,13019,187.27,
2017/11/29,13317,13317,191.52,
2017/11/30,13671,13671,195.67,
2017/12/01,13722,13722,203.57,
2017/12/04,13539,13539,201.16,
2017/12/05,13282,13282,201.01,
2017/12/06,12218,12218,186.66,
2017/12/07,13017,13017,208.52,
2017/12/08,13760,13760,220.60,
2017/12/11,14018,14018,215.87,
2017/12/12,13886,13886,205.65,
2017/12/13,13519,13519,199.95,
2017/12/14,13338,13338,199.96,
2017/12/15,13059,13059,194.81,
2017/12/18,13954,13954,211.76,
2017/12/19,13743,13743,207.15,
2017/12/20,13899,13899,201.76,
2017/12/21,13742,13742,200.21,
2017/12/22,13871,13871,203.41,
2017/12/25,13948,13948,203.87,
2017/12/26,13869,13869,200.96,
2017/12/27,13973,13973,202.86,
2017/12/28,13683,13683,195.91,
2017/12/29,13605,13605,193.07,
2018/01/04,15299,15299,215.05,
2018/01/05,16179,16179,201.51,
2018/01/09,16587,16587,205.82,
2018/01/10,16408,16408,209.04,
2018/01/11,15964,15964,210.71,
2018/01/12,15935,15935,216.46,
2018/01/15,16164,16164,223.90,
2018/01/16,16836,16836,236.75,
2018/01/17,16443,16443,236.66,
2018/01/18,16294,16294,242.43,
2018/01/19,16381,16381,240.69,
2018/01/22,16350,16350,243.81,
2018/01/23,17324,17324,260.28,
2018/01/24,16675,16675,238.44,
2018/01/25,15926,15926,237.17,
2018/01/26,15839,15839,247.01,
2018/01/29,15780,15780,254.88,
2018/01/30,14774,14774,239.15,
2018/01/31,14311,14311,240.45,
2018/02/01,15241,15241,257.32,
2018/02/02,14903,14903,256.59,
2018/02/05,13083,13083,234.29,
2018/02/06,10306,10306,198.46,
2018/02/07,10503,10503,217.19,
2018/02/08,11194,11194,248.94,
2018/02/09,9934,9934,228.37,
2018/02/13,9557,9557,236.35,
2018/02/14,9576,9576,238.69,
2018/02/15,10095,10095,254.31,
2018/02/16,10682,10682,276.24,
2018/02/19,11437,11437,303.28,
2018/02/20,11057,11057,292.19,
2018/02/21,11143,11143,297.88,
2018/02/22,10467,10467,279.88,
2018/02/23,10990,10990,294.75,
2018/02/26,11654,11654,312.04,
2018/02/27,12011,12011,318.21,
2018/02/28,11364,11364,297.06,
2018/03/01,10349,10349,275.08,
2018/03/02,9290,9290,250.96,
2018/03/05,9036,9036,257.54,
2018/03/06,9885,9885,282.29,
2018/03/07,9348,9348,269.41,
2018/03/08,9714,9714,281.10,
2018/03/09,10009,10009,291.12,
2018/03/12,10746,10746,313.25,
2018/03/13,10914,10914,316.90,
2018/03/14,10506,10506,305.67,
2018/03/15,10568,10568,312.69,
2018/03/16,10149,10149,300.84,
2018/03/19,9799,9799,289.00,
2018/03/20,9600,9600,283.15,
2018/03/22,10010,10010,294.09,
2018/03/23,7932,7932,237.23,
2018/03/26,8149,8149,253.12,
2018/03/27,9240,9240,290.63,
2018/03/28,9089,9089,285.17,
2018/03/29,9422,9422,299.84,
2018/03/30,9895,9895,312.16,
2018/04/02,9835,9835,306.95,
2018/04/03,9619,9619,295.86,
