date,sbi-sp_start_100,rakuten-vti_start_100
2024-09-11,120.56114195016158,119.44712445991863
2024-09-12,122.41290683800219,121.25928101010948
2024-09-13,122.3334118963016,121.14182641889342
2024-09-17,122.49707809807529,121.55711229497881
2024-09-18,123.29202778627588,122.41285288812452
2024-09-19,124.6387663325098,123.84747682369226
2024-09-20,126.02758993161206,125.17303578170225
2024-09-24,126.95347304573494,126.07911405679768
2024-09-25,126.95347304573494,126.03716598850623
2024-09-26,127.82324144584909,126.74608834263181
2024-09-27,129.14659929923522,128.11779017576242
2024-09-30,126.4624744953696,125.48764629388816
2024-10-01,128.23006832313578,127.19073786652125
2024-10-02,126.8880060165624,125.88195813582786
2024-10-03,129.7124150246455,128.70086832501363
2024-10-04,129.1185410008208,128.0800369143001
2024-10-07,131.84475116669756,130.85699903519443
2024-10-08,130.1613283779559,129.16229707621966
2024-10-09,131.69978972291844,130.56336255715425
2024-10-10,133.6263732668591,132.50136331221947
2024-10-11,132.7004908253941,131.52397332102856
2024-10-15,135.52490001516597,134.51906539703847
2024-10-16,134.15010425868513,133.25642854146565
2024-10-17,135.0292247709194,134.246402953144
2024-10-18,135.48748965453146,134.65749402240027
2024-10-21,135.37526130222594,134.55262385167163
2024-10-22,136.34322961810477,135.3076890809178
2024-10-23,136.8201991382778,135.7187801501741
2024-10-24,136.8435803421085,135.74814379797812
2024-10-25,136.59106698861063,135.55098787700825
2024-10-28,137.68996807483674,136.57032593649063
2024-10-29,137.65255908741048,136.6584168799027
2024-10-30,138.2090236870981,137.17857292671673
2024-10-31,138.0874425910508,137.13243005159612
2024-11-01,133.9864374876418,133.18092201854103
2024-11-05,134.60369290718174,133.8395066907169
2024-11-06,136.5910666295899,135.91174126431477
2024-11-07,141.60392599303987,141.33562649439992
2024-11-08,141.32335480615578,140.9455094592894
2024-11-11,141.95931414248412,141.6082889382944
2024-11-12,142.7121783299211,142.6402114182642
2024-11-13,143.3341094403522,143.13519862410337
2024-11-14,144.1430871540335,143.80636771676666
2024-11-15,144.20855406135712,143.72666638701287
2024-11-18,140.10754831678918,139.6451193422543
2024-11-19,140.7996221613793,140.328872855405
2024-11-20,141.70212380349795,141.36499014220396
2024-11-21,141.9593131582013,141.6460421997567
2024-11-22,142.11362719038368,142.07391249632954
2024-11-25,142.33808287430443,142.5227568270481
2024-11-26,142.78232003095513,143.20651034019883
2024-11-27,142.31937834254197,142.4682243382692
2024-11-28,140.84170754747456,141.02521078904314
2024-11-29,139.88776835283355,140.068794831998
2024-12-02,140.13560611314657,140.36243131003818
2024-12-03,140.28991923853022,140.38760015101303
2024-12-04,140.1917191008616,140.2533663324804
2024-12-05,141.59457137063666,141.72574352951045
2024-12-06,141.05681076397383,141.03360040270147
2024-12-09,141.14098218409293,141.22656151684214
2024-12-10,141.98736936900536,141.90612022316373
2024-12-11,141.87981677645573,141.6754058475607
2024-12-12,143.46036361053814,143.3239649314149
2024-12-13,143.30137366256673,143.08486094215363
2024-12-16,144.13373252641708,143.85251059188724
2024-12-17,145.0222060044684,144.7627836738118
2024-12-18,143.9233045891357,143.55467930701792
2024-12-19,140.79026695619572,140.1988338437015
2024-12-20,143.46503846120163,142.71991274801798
2024-12-23,143.9560375127824,143.21909476068626
2024-12-24,145.611403823306,144.6579135030832
2024-12-25,147.0329613631837,146.13029070011325
2024-12-26,147.07972372621566,146.17643357523386
2024-12-27,147.77647420584316,146.94827803179663
2024-12-30,146.2567173008744,145.35844624355047
2025-01-06,145.1297595667873,144.43558874113847
2025-01-07,146.42506008649204,145.69822559671127
2025-01-08,144.66681871423606,143.95318595578675
2025-01-09,145.16716916011387,144.393640672847
2025-01-10,144.93803730031155,144.1713159109023
2025-01-14,142.3801693686553,141.683795461219
2025-01-15,143.02080466932446,142.45983472461091
2025-01-16,144.13841071304392,143.58823776165107
2025-01-17,142.81505290214173,142.36754897436975
2025-01-20,144.94738875326038,144.45236796845504
2025-01-21,144.96609276430513,144.4649523889425
2025-01-22,145.76571848368837,145.38361508452536
2025-01-23,147.48187513602707,146.98603129325895
2025-01-24,148.13186315540156,147.5984730903142
2025-01-27,147.0002290439681,146.47845966693234
2025-01-28,144.53120878693872,144.00352363773646
2025-01-29,146.25204071811865,145.75275808549014
2025-01-30,144.75098874828987,144.2719912748018
2025-01-31,145.19990209467517,144.86345903771132
2025-02-03,145.61608131405404,145.2661604933093
2025-02-04,144.3348097830541,143.86928981920383
2025-02-05,144.09632537684956,143.71827677335457
2025-02-06,143.32007991300773,143.01354922605813
2025-02-07,142.59994953987442,142.13683459876674
2025-02-10,141.8377328455909,141.47824992659088
2025-02-12,144.18984924502925,143.52951046604304
2025-02-13,144.8865991088556,144.22165359285205
2025-02-14,144.8024272391033,144.12097822895257
2025-02-17,143.95603967559947,143.25265321531944
2025-02-18,143.7269077263686,143.02613364654556
2025-02-19,144.59199998397364,143.873484626033
2025-02-20,143.9794215168415,143.1226142036159
2025-02-21,142.17441773981875,141.1594446075758
2025-02-25,139.4435315238723,138.18532656571165
2025-02-26,137.54968059491617,136.29766349259614
2025-02-27,137.9284511503704,136.6332480389278
2025-02-28,136.11409478754953,134.909182432149
2025-03-03,139.0320284442891,137.79940433743025
2025-03-04,135.46878353889184,134.1625068165611
2025-03-05,134.38858661677293,133.0299089726918
2025-03-06,135.32849770379892,133.98632492973698
2025-03-07,131.8353958144985,130.45429757959647
2025-03-10,131.9289198442893,130.46268719325477
2025-03-11,127.84661953034191,126.30563362557155
2025-03-12,128.00560958638982,126.61604933092832
2025-03-13,128.82394048808297,127.43403666261169
2025-03-14,127.18260368000014,125.68480221485801
2025-03-17,130.20808831946783,128.79315407525485
2025-03-18,131.80266344393985,130.46268719325477
2025-03-19,130.55412449169472,129.19166072402365
2025-03-21,131.063827376829,129.79571290742064
2025-03-24,131.7512256961019,130.49205084105878
2025-03-25,135.07131047071468,133.9234028272998
2025-03-26,134.72059781307746,133.48294811023953
2025-03-27,133.49544061332946,132.2538697092999
2025-03-28,133.54687907650657,132.1154410839381
2025-03-31,129.53004536389307,128.11779017576242
2025-04-01,130.56815614065928,129.03645287134526
2025-04-02,131.06383072613448,129.489492008893
2025-04-03,130.08651002126092,128.75959562062167
2025-04-04,122.39887859909149,120.79365745207433
2025-04-07,115.14145496256225,113.51147279667771
2025-04-08,116.21229927907781,114.68182390200931
2025-04-09,112.66775907217834,111.0491211879693
2025-04-10,124.36287301248161,123.58739880028524
2025-04-11,117.39069612109444,115.79344771173288
2025-04-14,119.19570016028023,117.47976005704936
2025-04-15,120.72948539884567,118.89760476530056
2025-04-16,119.79892667128844,118.10478627459204
2025-04-17,116.8529368896436,115.32362934686857
2025-04-18,116.95581304675189,115.50400604052184
2025-04-21,115.95978810389246,114.51403162884348
2025-04-22,112.9763885907301,111.56927723478334
2025-04-23,116.7547381676058,115.33621376735601
2025-04-24,119.33598694543667,118.0083057175217
2025-04-25,121.96399688978985,120.61747556525022
2025-04-28,123.32943993840959,121.82557993204412
2025-04-30,123.2078593099295,121.79621628424012
2025-05-01,123.68950593770107,122.2912034900793
2025-05-02,127.10779036069042,125.57154243047108
2025-05-07,124.59200814889854,123.22664541297874
2025-05-08,125.68623372270602,124.26276269977767
2025-05-09,128.43582495395117,127.13620537774236
2025-05-12,128.38906275444367,127.11523134359663
2025-05-13,134.40262414139272,133.11380510927472
2025-05-14,134.76269011549377,133.4997273375561
2025-05-15,133.97241609574536,132.63559713075213
2025-05-16,133.5281796406618,132.08607743613408
2025-05-19,134.25298662313284,132.85792189269685
2025-05-20,134.74398470099015,133.3151558370737
2025-05-21,133.30839938150842,131.9224799697974
2025-05-22,130.2548571815355,128.80573849574228
2025-05-23,130.8159977113707,129.27136205377744
2025-05-26,128.88473759027818,127.471789924074
2025-05-27,128.55272921739822,127.13620537774236
2025-05-28,132.7285537995495,131.28906413859642
2025-05-29,133.79004509941922,132.32098661856622
2025-05-30,132.30769822623347,130.76471328495322
2025-06-02,131.94763208704964,130.43751835227988
2025-06-03,131.9756894315366,130.37459624984268
2025-06-04,133.8087499328132,132.34615545954108
2025-06-05,132.54618275385965,131.1674147405512
2025-06-06,132.87819105973065,131.38134988883763
2025-06-09,135.2910968979823,133.96535089559126
2025-06-10,135.2583632170878,133.89823398632493
2025-06-11,136.24503645699838,134.8168966819078
2025-06-12,135.09937374463735,133.69688325852596
2025-06-13,134.63175563328875,133.15994798439533
2025-06-16,134.3839187659312,132.82016863123454
2025-06-17,136.29179816895245,134.7413901589832
2025-06-18,135.3939732226785,133.8772599521792
2025-06-19,134.9637656424621,133.52070137170182
2025-06-20,135.3565641859879,133.91081840681235
2025-06-23,136.04863823797396,134.65749402240027
2025-06-24,136.71733089977744,135.22798775116408
2025-06-25,137.59177631538572,136.18859851503836
2025-06-26,137.41408203994544,135.79009186626956
2025-06-27,138.2885261699924,136.74650782331474
2025-06-30,139.1910275152535,137.58546918914385
2025-07-01,138.7608200631402,137.17018331305843
2025-07-02,138.709382814751,137.17857292671673
2025-07-03,139.2611715137757,137.83296279206343
2025-07-04,141.42156488276177,139.9303662066362
2025-07-07,141.20646126835942,139.71643105834977
