date,emaxis-sp_start_100,sbi-sp_start_100
2024-12-30,146.36464845422626,146.2567173008744
2025-01-06,145.27704033570265,145.1297595667873
2025-01-07,146.55305301019098,146.42506008649204
2025-01-08,144.81031086751733,144.66681871423606
2025-01-09,145.3455510833262,145.16716916011387
2025-01-10,145.11432731009677,144.93803730031155
2025-01-14,142.5708658045731,142.3801693686553
2025-01-15,143.2003082983643,143.02080466932446
2025-01-16,144.33929947760555,144.13841071304392
2025-01-17,142.9219833861437,142.81505290214173
2025-01-20,145.12289115354972,144.94738875326038
2025-01-21,145.1400188404556,144.96609276430513
2025-01-22,145.89791898604093,145.76571848368837
2025-01-23,147.69204418943224,147.48187513602707
2025-01-24,148.31720476149698,148.13186315540156
2025-01-27,147.21675087779397,147.0002290439681
2025-01-28,144.63475207673204,144.53120878693872
2025-01-29,146.48454226256743,146.25204071811865
2025-01-30,144.93876851931148,144.75098874828987
2025-01-31,145.3926522223174,145.19990209467517
2025-02-03,145.86366361222917,145.61608131405404
2025-02-04,144.42921983386142,144.3348097830541
2025-02-05,144.2750706517085,144.09632537684956
2025-02-06,143.47006936713197,143.32007991300773
2025-02-07,142.7592703605378,142.59994953987442
2025-02-10,142.0270617453113,141.8377328455909
2025-02-12,144.27078872998203,144.18984924502925
2025-02-13,145.06294424937911,144.8865991088556
2025-02-14,144.9644600496703,144.8024272391033
2025-02-17,144.125203391282,143.95603967559947
2025-02-18,143.89826153977904,143.7269077263686
2025-02-19,144.716108589535,144.59199998397364
2025-02-20,144.0952299391967,143.9794215168415
2025-02-21,142.28397704889954,142.17441773981875
2025-02-25,139.50929177014643,139.4435315238723
2025-02-26,137.6509377408581,137.54968059491617
2025-02-27,137.96779994861694,137.9284511503704
2025-02-28,136.16939282349918,136.11409478754953
2025-03-03,139.16245611030232,139.0320284442891
2025-03-04,135.54851417316092,135.46878353889184
2025-03-05,134.44377836773145,134.38858661677293
2025-03-06,135.38151922582855,135.32849770379892
2025-03-07,131.9217264708401,131.8353958144985
2025-03-10,132.0416202791813,131.9289198442893
2025-03-11,127.89243812623106,127.84661953034191
2025-03-12,128.13650766463988,128.00560958638982
2025-03-13,128.96720047957524,128.82394048808297
2025-03-14,127.22017641517513,127.18260368000014
2025-03-17,130.37595272758412,130.20808831946783
2025-03-18,131.82752419285774,131.80266344393985
2025-03-19,130.56863920527533,130.55412449169472
2025-03-21,131.14669863834888,131.063827376829
2025-03-24,131.9088807056607,131.7512256961019
2025-03-25,135.26590733921384,135.07131047071468
2025-03-26,134.81202363620793,134.72059781307746
2025-03-27,133.64734092660785,133.49544061332946
2025-03-28,133.6730324569667,133.54687907650657
2025-03-31,129.65658987753704,129.53004536389307
2025-04-01,130.64999571807826,130.56815614065928
2025-04-02,131.16382632525477,131.06383072613448
2025-04-03,130.27746852787533,130.08651002126092
2025-04-04,122.47580714224544,122.39887859909149
2025-04-07,114.97388027746854,115.14145496256225
2025-04-08,116.27130256058919,116.21229927907781
2025-04-09,112.5974137192772,112.66775907217834
2025-04-10,124.59964031857498,124.36287301248161
2025-04-11,117.5473152350775,117.39069612109444
2025-04-14,119.41851502954526,119.19570016028023
2025-04-15,120.71165539093944,120.72948539884567
2025-04-16,119.91521794981588,119.79892667128844
2025-04-17,116.9007450543804,116.8529368896436
2025-04-18,117.00351117581572,116.95581304675189
2025-04-21,116.00154149182154,115.95978810389246
2025-04-22,113.04701550055665,112.9763885907301
2025-04-23,116.82795238503041,116.7547381676058
2025-04-24,119.49558962062174,119.33598694543667
2025-04-25,122.0433330478719,121.96399688978985
2025-04-28,123.41354800034254,123.32943993840959
2025-04-30,123.26796266164254,123.2078593099295
2025-05-01,123.88027746852788,123.68950593770107
2025-05-02,127.21589449344866,127.10779036069042
2025-05-07,124.70668836173675,124.59200814889854
2025-05-08,125.7857326368074,125.68623372270602
2025-05-09,128.43196026376637,128.43582495395117
2025-05-12,128.48334332448403,128.38906275444367
2025-05-13,134.44377836773145,134.40262414139272
2025-05-14,134.89766207073734,134.76269011549377
2025-05-15,134.0798150209814,133.97241609574536
2025-05-16,133.55742057035198,133.5281796406618
2025-05-19,134.37954954183436,134.25298662313284
2025-05-20,134.86768861865207,134.74398470099015
2025-05-21,133.3818617795667,133.30839938150842
2025-05-22,130.3973623362165,130.2548571815355
2025-05-23,130.84268219576947,130.8159977113707
2025-05-26,128.91581741885759,128.88473759027818
2025-05-27,128.5775456024664,128.55272921739822
2025-05-28,132.7738288944078,132.7285537995495
2025-05-29,133.86143701293142,133.79004509941922
2025-05-30,132.3927378607519,132.30769822623347
2025-06-02,132.17007793097542,131.94763208704964
2025-06-03,131.99023721846365,131.9756894315366
2025-06-04,133.84430932602552,133.8087499328132
2025-06-05,132.67962661642545,132.54618275385965
2025-06-06,132.94082384174018,132.87819105973065
2025-06-09,135.38580114755504,135.2910968979823
2025-06-10,135.3429819302903,135.2583632170878
2025-06-11,136.30641431874625,136.24503645699838
2025-06-12,135.16314121777856,135.09937374463735
2025-06-13,134.7006936713197,134.63175563328875
2025-06-16,134.44377836773145,134.3839187659312
2025-06-17,136.34923353601096,136.29179816895245
2025-06-18,135.47143958208443,135.3939732226785
2025-06-19,135.021837800805,134.9637656424621
2025-06-20,135.42433844309326,135.3565641859879
2025-06-23,136.20364819731094,136.04863823797396
2025-06-24,136.78170763038452,136.71733089977744
2025-06-25,137.67662927121694,137.59177631538572
2025-06-26,137.43255973280807,137.41408203994544
2025-06-27,138.3274813736405,138.2885261699924
2025-06-30,139.27806799691703,139.1910275152535
2025-07-01,138.92266849361994,138.7608200631402
2025-07-02,138.7813650766464,138.709382814751
2025-07-03,139.3808341183523,139.2611715137757
2025-07-04,141.53464074676717,141.42156488276177
2025-07-07,141.31626273871714,141.20646126835942
2025-07-08,141.83865718934658,141.70213548522054
2025-07-09,142.51520082212897,142.3801802035173
2025-07-10,142.40387085724075,142.24924738980215
2025-07-11,143.5642716451143,143.41829153464082
2025-07-14,143.44009591504667,143.25462544870732
2025-07-15,144.29648026034084,144.18518457488202
2025-07-16,145.06294424937911,144.88193496785874
2025-07-17,144.9944335017556,144.8304975344871
2025-07-18,145.95358396848505,145.8732843582603
2025-07-22,144.95589620621735,144.8679067189362
2025-07-23,144.07810225229082,143.8952621445462
2025-07-24,145.22137535325854,145.13912444748135
2025-07-25,146.24047272415862,146.1491780937275
2025-07-28,147.17393166052926,147.07506090529506
2025-07-29,147.96608717992635,147.8045443828817
2025-07-30,147.2381604864263,147.13585149732097
2025-07-31,148.18874710970283,148.08043865083903
2025-08-01,149.03656761154406,148.90812093543843
2025-08-04,143.58996317547314,143.3995866429731
2025-08-05,145.05866232765266,144.92869658723137
2025-08-06,144.99871542348205,144.86790624544787
2025-08-07,146.09060546373212,145.9761602150162
2025-08-08,145.57249293482914,145.48516210132496
2025-08-12,147.55930461591163,147.48188921195242
2025-08-13,148.60837543889699,148.43115344222738
2025-08-14,147.9318318061146,147.79051716241307
2025-08-15,148.9594930204676,148.76783811754606
2025-08-18,148.3985612742999,148.28619182789183
2025-08-19,148.79249807313522,148.6369049830459
2025-08-20,147.76055493705576,147.65958463266327
2025-08-21,147.17393166052926,147.03765279836142
2025-08-22,147.62781536353515,147.48188883650195
2025-08-25,148.78393422968227,148.64158022335226
2025-08-26,147.85903913676458,147.72505029403186
2025-08-27,148.87385458593815,148.7070466568594
2025-08-28,149.09651451571466,148.91279772661383
2025-08-29,149.06225914190287,148.93150266313626
2025-09-01,148.48419970882932,148.4358288359728
2025-09-02,148.5441466129999,148.4966192453143
2025-09-03,148.99374839427935,148.85668493786318
2025-09-04,148.9851845508264,148.84265668387465
2025-09-05,150.47101138991178,150.2922710395565
2025-09-08,150.2355056949559,150.1052232907115
2025-09-09,149.44335017555878,149.3804162032166
2025-09-10,150.0042819217265,149.89011861514777
2025-09-11,150.49242099854413,150.36708845829656
2025-09-12,151.50295452599127,151.3210277931722
2025-09-16,152.41500385372956,152.30770142279482
2025-09-17,151.21178384859124,151.10124775059265
2025-09-18,151.51151836944422,151.36779035162468
2025-09-19,153.34418086837374,153.17746948285142
2025-09-22,154.34186863064144,154.14076123051234
2025-09-24,153.72527190202962,153.62170608973713
2025-09-25,154.23910250920613,154.06126694980583
2025-09-26,154.51742742142673,154.37457056411296
2025-09-29,154.83428962918558,154.6831977493304
2025-09-30,154.89851845508264,154.72996002684198
2025-10-01,154.80003425537382,154.55694098554
2025-10-02,154.30761325682965,154.07997053781156
2025-10-03,154.628757386315,154.472769688303
2025-10-06,157.1508092832063,156.96984672595755
2025-10-07,158.45679540977991,158.22773715028376
2025-10-08,159.78419114498587,159.58850360116307
2025-10-09,161.16725186263594,160.95862356878524
2025-10-10,161.09874111501242,160.89315686782112
2025-10-14,158.56812537466817,158.32593600324876
2025-10-15,157.47195341269162,157.25509220205336
2025-10-16,157.13368159630042,156.96984561775713
2025-10-17,155.57506208786504,155.37059444874512
2025-10-20,157.24929348291514,157.07739791588452
2025-10-21,158.46964117495932,158.25579412582346
2025-10-22,159.68142502355056,159.44354184212835
2025-10-23,159.40738203305645,159.20973383237106
2025-10-24,160.79044275070652,160.55647304988568
2025-10-27,162.3918814764066,162.20248677264
2025-10-28,163.92480945448318,163.6801579152382
2025-10-29,163.2568296651537,163.07693106125737
2025-10-30,164.54568810482144,164.4283463274234
2025-10-31,164.3016185664126,164.06828113463564
2025-11-04,165.3292797807656,165.15783069804297
2025-11-05,162.4518283805772,162.3147162667566
2025-11-06,163.63363877708315,163.38556001382474
2025-11-07,160.96600154149183,160.8136637995459
2025-11-10,161.90802432131542,161.7021367781255
2025-11-11,164.87967799948618,164.66215583866102
2025-11-12,165.13231138134793,164.95207814306775
2025-11-13,166.04436070908625,165.83119849113513
2025-11-14,162.995632439839,162.84312260838703
2025-11-17,162.89714824013018,162.75895225517317
2025-11-18,162.08786503382717,161.89853681961335
