date,sbi-sp_start_100,rakuten-nasdaq_start_100
2025-01-08,129.96555073964052,133.68
2025-01-09,130.41505479205065,134.02
2025-01-10,130.2092076695669,133.81
2025-01-14,127.91127427052228,130.79000000000002
2025-01-15,128.4868072117643,131.05
2025-01-16,129.4908403844911,132.71
2025-01-17,128.30196426038663,130.77
2025-01-20,130.2176088132674,133.65
2025-01-21,130.23441209350867,133.66
2025-01-22,130.95277859889583,133.97
2025-01-23,132.4945367329243,136.56
2025-01-24,133.0784719549951,136.71
2025-01-27,132.06183626869628,135.29
2025-01-28,129.84372170487217,130.88
2025-01-29,131.3896800086069,133.4
2025-01-30,130.04116728342575,132.29999999999998
2025-01-31,130.4444613546985,132.61
2025-02-03,130.81834779205641,133.51999999999998
2025-02-04,129.66728107438453,132.1
2025-02-05,129.4530318258653,132.66
2025-02-06,128.7556696379497,131.97
2025-02-07,128.10872003761676,131.53
2025-02-10,127.42396099379492,130.4
2025-02-12,129.53705165254917,132.77
2025-02-13,130.16299670743308,134.0
2025-02-14,130.08737851449587,134.43
2025-02-17,129.32700217659323,134.17
2025-02-18,129.1211549737688,133.95
2025-02-19,129.8983352055559,134.67
2025-02-20,129.34800791862403,133.84
2025-02-21,127.72643144343188,132.1
2025-02-25,125.27306214826643,128.14000000000001
2025-02-26,123.57166730743039,125.44
2025-02-27,123.91194660769484,125.98
2025-02-28,122.28196797107485,122.86999999999999
2025-03-03,124.90337665407768,125.61
2025-03-04,121.70223425897913,121.8
2025-03-05,120.73180863451192,121.85999999999999
2025-03-06,121.57620448946554,123.0
2025-03-07,118.43807706765934,118.63
2025-03-10,118.52209703953116,118.97
2025-03-11,114.85464645685948,113.89
2025-03-12,114.99747969519322,114.67
2025-03-13,115.73265053306103,116.14
2025-03-14,114.25810893390485,113.99
2025-03-17,116.97613910086011,117.21999999999998
2025-03-18,118.40867101169931,118.41
2025-03-19,117.28701053702642,116.57
2025-03-21,117.74491661921456,117.24000000000001
2025-03-24,118.36246044810235,118.28
2025-03-25,121.34515302453337,121.75
2025-03-26,121.03008033470518,121.78999999999999
2025-03-27,119.92942552233654,119.87
2025-03-28,119.9756367285788,119.57
2025-03-31,116.36699992900566,115.21999999999998
2025-04-01,117.29961626791668,115.44000000000001
2025-04-02,117.74491962815841,116.41
2025-04-03,116.86691577912758,115.71000000000001
2025-04-04,109.96051346416951,108.13
2025-04-07,103.44060054802553,101.39
2025-04-08,104.40262399327229,102.97
2025-04-09,101.21828549600806,99.33
2025-04-10,111.72492369904188,112.43
2025-04-11,105.46127030846546,105.25
2025-04-14,107.08284701917923,107.0
2025-04-15,108.46076660722414,107.91999999999999
2025-04-16,107.62477271036899,107.58000000000001
2025-04-17,104.97815900967558,104.02
2025-04-18,105.07058073108612,103.97000000000001
2025-04-21,104.175773397935,103.08
2025-04-22,101.49555160104573,100.34
2025-04-23,104.88993939508116,103.81
2025-04-24,107.20887764220943,106.81
2025-04-25,109.56982511311348,109.91
2025-04-28,110.79650970737434,111.57999999999998
2025-04-30,110.68728429217461,111.36999999999999
2025-05-01,111.11998523767525,111.91
2025-05-02,114.1908982609035,115.46000000000001
2025-05-07,111.93077376516558,113.14999999999999
2025-05-08,112.91380242783492,114.07000000000001
2025-05-09,115.38397590544179,116.94
2025-05-12,115.34196575365436,117.04
2025-05-13,120.74441964396416,123.38
2025-05-14,121.06789515163454,124.85
2025-05-15,120.35793001156527,124.66999999999999
2025-05-16,119.9588375585985,123.76
2025-05-19,120.60998852392709,124.2
2025-05-20,121.0510906105561,124.64
2025-05-21,119.76139171250581,123.29
2025-05-22,117.01815523814791,120.85
2025-05-23,117.52227179127699,121.50000000000001
2025-05-26,115.78726933881345,119.39999999999999
2025-05-27,115.48900017512396,119.09
2025-05-28,119.2404709438526,123.37
2025-05-29,120.19409184060721,124.51
2025-05-30,118.86238337094544,122.91000000000001
2025-06-02,118.53890771496825,122.58
2025-06-03,118.56411382830474,122.76
2025-06-04,120.21089585962932,124.75
2025-06-05,119.07663272854722,124.00999999999999
2025-06-06,119.37490183203734,123.91000000000001
2025-06-09,121.5426044119269,126.14000000000001
2025-06-10,121.51319717878944,126.19
2025-06-11,122.39960314364546,127.22
2025-06-12,121.37036446474706,126.03999999999999
2025-06-13,120.95026643592885,125.42999999999999
2025-06-16,120.72761513796029,124.99
2025-06-17,122.44161285742537,127.34
2025-06-18,121.63502628389482,126.30999999999999
2025-06-19,121.24853706962907,125.93
2025-06-20,121.6014188119165,126.29999999999998
2025-06-23,122.22316321825927,126.77000000000001
2025-06-24,122.82390228779336,127.42999999999999
2025-06-25,123.60948519506509,128.79
2025-06-26,123.44984848931509,128.84
2025-06-27,124.23543024166624,129.85
2025-06-30,125.046217991218,130.56
2025-07-01,124.65972889203726,130.39000000000001
2025-07-02,124.61351877713429,129.24
2025-07-03,125.10923384710009,130.14
2025-07-04,127.05008466907861,132.34
2025-07-07,126.85684021979607,132.14
2025-07-08,127.30214324888283,132.62
2025-07-09,127.91128400432873,133.45
2025-07-10,127.79365678755835,133.48
2025-07-11,128.8439008412624,133.98000000000002
2025-07-14,128.69686675850036,134.02
2025-07-15,129.5328610134649,135.08
2025-07-16,130.1588065437261,136.49
2025-07-17,130.11259626263887,136.13
2025-07-18,131.04941346135968,137.32
2025-07-22,130.14620386736024,136.79
2025-07-23,129.27240095313272,135.19
2025-07-24,130.38986002689984,135.78
2025-07-25,131.29727044469763,136.97
2025-07-28,132.12906359944617,137.61
2025-07-29,132.7844158271556,138.81
2025-07-30,132.18367655660285,138.27
2025-07-31,133.03227328887124,139.54999999999998
2025-08-01,133.7758452075148,140.1
2025-08-04,128.82709676988844,134.48
2025-08-05,130.20081617433286,136.38
2025-08-06,130.14620344198852,135.99
2025-08-07,131.14183491294008,137.76999999999998
2025-08-08,130.70073279411866,137.83
2025-08-12,132.49454937843217,139.78
2025-08-13,133.34734789561546,141.05
2025-08-14,132.7718140747306,140.01
2025-08-15,133.6498181485891,140.83
2025-08-18,133.21711750684577,139.98999999999998
2025-08-19,133.5321906436324,140.37
2025-08-20,132.6541871130686,138.27
2025-08-21,132.09545696274142,137.25
2025-08-22,132.49454904113554,137.6
2025-08-25,133.53639077871972,138.7
2025-08-26,132.7130000517225,138.01000000000002
2025-08-27,133.59520441104632,138.95
2025-08-28,133.78004673586946,139.07
2025-08-29,133.79685084753993,139.41
2025-09-01,133.35154816854916,138.06
2025-09-02,133.4061609615861,138.12
2025-09-03,133.7296362163161,138.38
2025-09-04,133.71703353539908,138.76
2025-09-05,135.01933581708838,140.28
2025-09-08,134.8512961525039,140.61999999999998
2025-09-09,134.20014509282413,140.23000000000002
2025-09-10,134.6580507498968,140.82
2025-09-11,135.08655017292958,140.92
2025-09-12,135.94354870328513,141.52
2025-09-16,136.82995501825005,143.53
2025-09-17,135.7461030517577,142.45000000000002
2025-09-18,135.98555917754103,142.57999999999998
2025-09-19,137.6113358901437,144.98
2025-09-22,138.4767364264961,146.23999999999998
2025-09-24,138.0104284794862,145.54
2025-09-25,138.40532047870312,146.0
2025-09-26,138.6867856905882,146.35
2025-09-29,138.9640496994087,146.42
2025-09-30,139.0060599212733,146.74
2025-10-01,138.85062334506935,146.45
2025-10-02,138.4221233788953,146.2
2025-10-03,138.7750056664676,146.96
2025-10-06,141.0183258370669,148.70000000000002
2025-10-07,142.14838747262831,150.54000000000002
2025-10-08,143.37087071231232,151.54000000000002
2025-10-09,144.60175694976485,153.78
2025-10-10,144.5429430771607,153.9
2025-10-14,142.23660720484492,151.16
2025-10-15,141.27458422255066,149.31
2025-10-16,141.01832484148355,149.39
2025-10-17,139.5815920730508,148.31
2025-10-20,141.11494750716233,150.09
2025-10-21,142.17359325451054,151.59
2025-10-22,143.24064019354802,152.67
2025-10-23,143.0305921187682,151.70999999999998
2025-10-24,144.24047359444162,153.48
2025-10-27,145.7192168328987,155.39000000000001
2025-10-28,147.04672472701506,157.78
2025-10-29,146.50479872770612,157.94
2025-10-30,147.71888106466668,159.84
2025-10-31,147.39540625891127,158.82
2025-11-04,148.37423409465765,160.59
2025-11-05,145.82004139060814,156.37
2025-11-06,146.78206432427564,158.06
2025-11-07,144.47152821858984,154.23
2025-11-10,145.2697131859836,154.5
2025-11-11,147.928930488344,158.35
2025-11-12,148.18939043554417,157.79000000000002
2025-11-13,148.9791732013399,158.46
2025-11-14,146.29475025484308,154.91
2025-11-17,146.21913342433135,154.98000000000002
2025-11-18,145.44615474863164,154.32
2025-11-19,144.4421210344017,152.68
2025-11-20,146.58461801591412,155.27
2025-11-21,144.55134571110773,151.79
2025-11-25,147.56344449595716,156.34
2025-11-26,148.47085490956167,156.76000000000002
2025-11-27,149.0421870910477,157.66
2025-11-28,149.72694651541883,158.39000000000001
2025-12-01,149.82356830854414,158.85
2025-12-02,148.9791716669713,158.10999999999999
2025-12-03,149.36566088306836,159.58
2025-12-04,149.36145922702772,159.35
2025-12-05,149.31524828515745,159.02
2025-12-08,149.71013933599224,159.84
2025-12-09,150.02521180973184,160.26
2025-12-10,150.71417108967353,161.4
2025-12-11,150.71417108967353,161.03
2025-12-12,150.92842032672777,160.3
2025-12-15,149.5967109563959,157.56
2025-12-16,148.52546237294115,155.85
2025-12-17,147.7020713704019,155.82
2025-12-18,146.95429713963358,153.73000000000002
2025-12-19,148.28180584375852,156.29
2025-12-22,151.29390458167674,160.12
2025-12-23,151.36111992466525,159.97
2025-12-24,151.5501639090064,160.22
2025-12-25,151.76021243618425,160.34
2025-12-26,152.33154562554486,160.94
2025-12-29,152.31054062871857,160.82
2025-12-30,151.86103566879348,160.17
2026-01-05,151.5333590376895,158.92
2026-01-06,151.97026001846697,159.56
2026-01-07,152.8188573913023,161.0
2026-01-08,152.51218662104375,161.29
2026-01-09,152.76844674773565,160.66
2026-01-13,155.15040014795062,163.61
2026-01-14,155.7847480739955,164.32
2026-01-15,154.37321986003656,161.88
2026-01-16,154.96555762330053,162.59
2026-01-19,153.65065317168873,161.23000000000002
2026-01-20,154.2723974667349,161.88
2026-01-21,151.20148506268953,158.5
2026-01-22,152.9490899712223,160.67000000000002
2026-01-23,154.07495128148227,162.24
2026-01-26,150.4915192055639,158.92
2026-01-27,150.75197939259854,159.06
2026-01-28,149.55470114218335,158.51999999999998
2026-01-29,150.19324886746207,159.75
2026-01-30,150.37809169884326,159.42000000000002
2026-02-02,151.47874654651005,159.06
2026-02-03,152.60040728021286,160.54
2026-02-04,151.739206881727,158.51999999999998
2026-02-05,151.71820162331832,156.49
2026-02-06,149.82356141044852,154.31
2026-02-09,152.86506660474623,157.77
2026-02-10,152.81045403105102,158.18
2026-02-12,149.60090882843707,154.89
2026-02-13,146.9248881635594,151.37
2026-02-16,147.14753960833133,151.79
2026-02-17,147.3869957424868,152.04
2026-02-18,147.55083407469405,151.75
2026-02-19,149.78575262173163,154.51
2026-02-20,149.74794370205487,154.26
2026-02-24,149.02117500184454,153.42
2026-02-25,151.03764310968802,156.06
2026-02-26,152.62561210917966,158.6
2026-02-27,151.43253464680996,156.4
2026-03-02,151.4409361238322,156.67
2026-03-03,152.42816444232986,157.85
2026-03-04,151.26869522099292,156.31
2026-03-05,151.2939011236776,157.59
2026-03-06,151.30230247400704,157.98000000000002
2026-03-09,150.47471065295773,156.86
2026-03-10,150.84019566816846,157.95
2026-03-11,151.05864696474097,158.39000000000001
2026-03-12,151.70559640620215,159.3
2026-03-13,149.55469777273942,156.72
2026-03-16,148.87834113870318,155.92
2026-03-17,150.3066724996708,157.62
2026-03-18,150.55032863419314,158.24
2026-03-19,149.12619780047797,156.66
2026-03-23,146.24853043918984,152.93
2026-03-24,146.85767165580742,153.79
2026-03-25,146.53419707391146,152.78
2026-03-26,148.12636585756002,154.64
2026-03-27,145.58477664058452,151.02
2026-03-30,143.42967645688736,148.48
2026-03-31,142.83733914475897,147.23
2026-04-01,145.9712660693847,151.31
2026-04-02,146.98790192818953,152.96
2026-04-03,148.05494884320507,154.07999999999998
2026-04-06,148.12216430943042,154.14000000000001
2026-04-07,148.84893311472288,155.17000000000002
2026-04-08,147.82389535625364,154.06
2026-04-09,151.79801808907337,158.79000000000002
2026-04-10,153.0541102572361,160.32
2026-04-13,153.50361487365058,161.12
2026-04-14,154.3774173159212,162.17
2026-04-15,155.92757653906062,164.76999999999998
2026-04-16,157.0786432647266,166.98999999999998
2026-04-17,158.01546029315742,168.42999999999998
2026-04-20,159.54041377519016,170.16
2026-04-21,159.23794429552206,169.64
2026-04-22,158.38934777419732,169.14000000000001
2026-04-23,160.1747616030059,172.23999999999998
2026-04-24,159.9983210943621,171.76
2026-04-27,160.98134917918264,174.78
2026-04-28,161.22500571985978,174.78
2026-04-30,161.27961907829734,174.95000000000002
2026-05-01,159.54461648175015,173.06
2026-05-07,162.14922063652267,179.44
2026-05-08,162.3298629757728,179.99
2026-05-11,163.61116018031728,184.17
2026-05-12,164.39674243814628,185.21
2026-05-13,164.58578554021076,184.04
2026-05-14,165.58141597853705,186.06
2026-05-15,167.572678217325,188.21
2026-05-18,166.0057144819487,185.84
2026-05-19,165.930097218945,185.07
2026-05-20,164.8798542837045,183.95999999999998
2026-05-21,166.493028885225,186.91
2026-05-22,167.04755722695128,187.57999999999998
2026-05-25,167.41304224788368,188.04000000000002
2026-05-26,167.52646793226748,188.17
2026-05-27,168.94219558167546,191.86
2026-05-28,169.27827398076803,192.08
2026-05-29,169.95883188956662,193.35999999999999
2026-06-01,170.41673837362012,194.15
2026-06-02,171.18131647866812,195.67000000000002
2026-06-03,171.66442781366055,196.89000000000001
2026-06-04,170.45874785484415,196.32
2026-06-05,171.17291375696914,195.38
2026-06-08,167.09376736530885,186.46
2026-06-09,167.4466493507323,189.34
2026-06-10,167.09376725849108,187.35999999999999
2026-06-11,164.63619724497033,183.83
2026-06-12,166.94253304859205,189.38
2026-06-15,167.85414445283317,190.6
2026-06-16,170.88304731136287,196.58
2026-06-17,170.06805821148174,193.09
2026-06-18,168.3834677683543,191.59
2026-06-19,170.4125390700033,196.77
2026-06-22,170.8662437098979,197.3
2026-06-23,170.39993606151407,196.96
2026-06-24,168.0095810944374,190.51
2026-06-25,168.01798325358791,189.87
2026-06-26,168.10620445605485,191.39
2026-06-29,167.0433580215676,189.12
2026-06-30,170.3705292970748,194.14000000000001
2026-07-01,172.17274794120095,197.84
2026-07-02,171.7526498796794,194.70000000000002
2026-07-03,170.14367620818606,189.92
2026-07-06,170.4713525113219,190.29
2026-07-07,172.50042358357192,193.37
2026-07-08,171.86187531558411,190.22
