date,fang_start_100,rakuten-nasdaq_start_100
2024-08-09,111.87749269520336,108.35999999999999
2024-08-13,112.86284044617912,108.89999999999999
2024-08-14,116.20278542026574,111.46000000000001
2024-08-15,116.31582314927378,111.75
2024-08-16,120.65391259837482,115.87
2024-08-19,120.06099771791754,115.07000000000001
2024-08-20,120.90984707914774,115.41999999999999
2024-08-21,120.10365346471303,114.49000000000001
2024-08-22,120.60485848956,114.94
2024-08-23,117.04310363213683,113.69
2024-08-26,116.50137564783417,112.88
2024-08-27,116.33501823533175,112.72999999999999
2024-08-28,115.53095740823682,112.63000000000001
2024-08-29,114.00388167295839,111.52
2024-08-30,114.15104399940282,111.57
2024-09-02,117.15187578646533,114.14
2024-09-03,117.88768741868749,114.86000000000001
2024-09-04,112.45761085162198,109.92
2024-09-05,111.47652867532578,108.49
2024-09-06,112.3893616567492,108.13
2024-09-09,107.32399172478513,104.91
2024-09-10,109.42692004180263,106.83
2024-09-11,110.02410049693945,106.74
2024-09-12,113.42802909121932,109.61000000000001
2024-09-13,114.07426365517095,109.66
2024-09-17,113.21261756990211,109.08
2024-09-18,114.2278243436347,109.79
2024-09-19,115.34540490967646,110.84
2024-09-20,118.393158018214,112.99999999999999
2024-09-24,119.38916970588862,113.84
2024-09-25,119.6493697613411,114.04
2024-09-26,120.47902403651332,115.21
2024-09-27,121.06767334229104,116.78
2024-09-30,117.95593661356025,113.92
2024-10-01,119.52140252095464,115.31
2024-10-02,117.42273977861669,113.53
2024-10-03,120.67310768443278,116.24000000000001
2024-10-04,121.03354874485466,115.87
2024-10-07,124.70834133128585,118.67000000000002
2024-10-08,122.34734574615564,116.84
2024-10-09,125.18182012071577,118.93
2024-10-10,127.27195171369463,120.83
2024-10-11,127.56201079190394,120.02999999999999
2024-10-15,128.6881225073048,122.05999999999999
2024-10-16,126.57879582826797,120.09
2024-10-17,126.88165163051592,120.44999999999999
2024-10-18,127.59613538934033,120.94
2024-10-21,128.66892742124682,121.17
2024-10-22,130.59696717640284,122.46
2024-10-23,131.37970013010002,123.10000000000001
2024-10-24,129.6180177874464,122.32000000000001
2024-10-25,130.18320643248663,122.83
2024-10-28,131.83611662081174,124.6
2024-10-29,131.38609849211934,124.18
2024-10-30,133.96677117324631,125.72000000000001
2024-10-31,133.81960884680188,124.99
2024-11-01,128.3554076823,120.67000000000002
2024-11-05,129.46232431164287,121.41999999999999
2024-11-06,132.1304412737006,123.36
2024-11-07,137.12969479813168,128.22
2024-11-08,138.91910337620237,128.94
2024-11-11,138.14703435920404,129.06
2024-11-12,138.89990829014437,129.58
2024-11-13,140.9623136477062,130.32
2024-11-14,141.77064004948065,130.78
2024-11-15,142.1481434086207,130.8
2024-11-18,136.08676178898202,125.64
2024-11-19,137.0294537931623,126.64999999999999
2024-11-20,139.91511506387698,127.89999999999999
2024-11-21,139.70823469191888,127.97
2024-11-22,139.13878047219913,127.94000000000001
2024-11-25,139.06200012796722,127.93
2024-11-26,138.23874421481435,128.1
2024-11-27,138.60131806257598,127.69
2024-11-28,135.5727600400964,125.69
2024-11-29,134.65139590931386,124.83999999999999
2024-12-02,135.25284193913026,125.52000000000001
2024-12-03,136.71806684155524,126.69999999999999
2024-12-04,138.01266875679826,126.98
2024-12-05,141.6277432977158,129.03
2024-12-06,141.5275022927464,128.36
2024-12-09,142.96500095975432,129.37
2024-12-10,143.23586495190565,129.75
2024-12-11,143.16761575703288,129.58
2024-12-12,147.9045364386717,132.45
2024-12-13,147.7552413248875,132.07999999999998
2024-12-16,150.68355834239767,133.88
2024-12-17,155.047241239576,136.13
2024-12-18,152.7097063151833,135.08
2024-12-19,147.38413632776678,131.23
2024-12-20,150.77740098534775,133.16
2024-12-23,151.44069784801758,133.23000000000002
2024-12-24,154.13014268347303,135.21
2024-12-25,156.28425789664513,137.0
2024-12-26,156.32904643078038,137.03
2024-12-27,156.9006334378399,137.5
2024-12-30,154.31142960735386,135.63
2025-01-06,152.79715059611405,134.32999999999998
2025-01-07,156.04965128926995,136.23000000000002
2025-01-08,152.49642758120586,133.68
2025-01-09,152.49002921918654,134.02
2025-01-10,152.24902424979206,133.81
2025-01-14,147.4118625631838,130.79000000000002
2025-01-15,147.35001173033038,131.05
2025-01-16,149.87949751530275,132.71
2025-01-17,147.3478789429906,130.77
2025-01-20,150.21434512764733,133.65
2025-01-21,150.22927463902573,133.66
2025-01-22,151.29780109625267,133.97
2025-01-23,156.446349734468,136.56
2025-01-24,157.19282530338901,136.71
2025-01-27,156.12643163350182,135.29
2025-01-28,149.92855162411755,130.88
2025-01-29,155.65508563141168,133.4
2025-01-30,153.17891952993367,132.29999999999998
2025-01-31,151.1826305799049,132.61
2025-02-03,152.87606372768573,133.51999999999998
2025-02-04,151.2892699468936,132.1
2025-02-05,152.31300786998528,132.66
2025-02-06,151.55586836436538,131.97
2025-02-07,151.29353552157315,131.53
2025-02-10,149.89016145200162,130.4
2025-02-12,153.22584085140872,132.77
2025-02-13,154.3562181414891,134.0
2025-02-14,154.93420351056798,134.43
2025-02-17,154.47778701985627,134.17
2025-02-18,154.23038368844243,133.95
2025-02-19,153.6993196408386,134.67
2025-02-20,152.44097511037174,133.84
2025-02-21,149.61289909783096,132.1
2025-02-25,142.71973041568026,128.14000000000001
2025-02-26,139.26674771258558,125.44
2025-02-27,141.7514449634227,125.98
2025-02-28,137.21927186640218,122.86999999999999
2025-03-03,140.4611086228592,125.61
2025-03-04,135.08435173928808,121.8
2025-03-05,135.8308273082091,121.85999999999999
2025-03-06,136.33416512039585,123.0
2025-03-07,129.67986862029989,118.63
2025-03-10,129.31089641051892,118.97
2025-03-11,122.58835071555015,113.89
2025-03-12,125.72994646703776,114.67
2025-03-13,129.05922750442554,116.14
2025-03-14,125.54652675581717,113.99
2025-03-17,130.03391131870242,117.21999999999998
2025-03-18,131.00859513297928,118.41
2025-03-19,128.5217650948024,116.57
2025-03-21,129.5348390811952,117.24000000000001
2025-03-24,130.86783116855418,118.28
2025-03-25,134.6258024612366,121.75
2025-03-26,135.4490583743895,121.78999999999999
2025-03-27,131.7977264486958,119.87
2025-03-28,131.00859513297928,119.57
2025-03-31,125.29485784972381,115.21999999999998
2025-04-01,125.08157911574638,115.44000000000001
2025-04-02,126.72169258003285,116.41
2025-04-03,126.13730884893468,115.71000000000001
2025-04-04,116.34141659735108,108.13
2025-04-07,109.55062170750955,101.39
2025-04-08,112.54292234521294,102.97
2025-04-09,109.41625610510377,99.33
2025-04-10,125.63397103674791,112.43
2025-04-11,117.20946104463923,105.25
2025-04-14,119.41476315396591,107.0
2025-04-15,119.85625013329921,107.91999999999999
2025-04-16,120.07592722929597,107.58000000000001
2025-04-17,115.85300829654275,104.02
2025-04-18,114.63305393819184,103.97000000000001
