ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç ïƒçëäîéÆÅiÇrÅïÇoÇTÇOÇOÅj
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2024/12/20,33532,33532,,63333.86
2024/12/23,33634,33634,,63593.19
2024/12/24,34038,34038,,64453.89
2024/12/25,34398,34398,,65193.80
2024/12/26,34409,34409,,65260.29
2024/12/27,34561,34561,,65548.69
2024/12/30,34182,34182,,65154.57
2025/01/06,33928,33928,,64798.61
2025/01/07,34226,34226,,65620.59
2025/01/08,33819,33819,,66297.23
2025/01/09,33944,33944,,66778.18
2025/01/10,33890,33890,,67074.76
2025/01/14,33296,33296,,65898.32
2025/01/15,33443,33443,,66485.46
2025/01/16,33709,33709,,67201.00
2025/01/17,33378,33378,,66685.66
2025/01/20,33892,33892,,67799.05
2025/01/21,33896,33896,,67908.99
2025/01/22,34073,34073,,68263.86
2025/01/23,34492,34492,,69350.51
2025/01/24,34638,34638,,69703.75
2025/01/27,34381,34381,,69239.22
2025/01/28,33778,33778,,68083.75
2025/01/29,34210,34210,,69115.05
2025/01/30,33849,33849,,68475.43
2025/01/31,33955,33955,,68779.49
2025/02/03,34065,34065,,69063.31
2025/02/04,33730,33730,,68444.98
2025/02/05,33694,33694,,68950.27
2025/02/06,33506,33506,,68637.00
2025/02/07,33340,33340,,68377.15
2025/02/10,33169,33169,,68074.14
2025/02/12,33693,33693,,69219.59
2025/02/13,33878,33878,,69973.38
2025/02/14,33855,33855,,70012.55
2025/02/17,33659,33659,,69639.68
2025/02/18,33606,33606,,69606.45
2025/02/19,33797,33797,,70001.04
2025/02/20,33652,33652,,69829.49
2025/02/21,33229,33229,,68962.46
2025/02/25,32581,32581,,67661.69
2025/02/26,32147,32147,,66780.01
2025/02/27,32221,32221,,67017.37
2025/02/28,31801,31801,,66178.54
2025/03/03,32500,32500,,67682.11
2025/03/04,31656,31656,,65980.79
2025/03/05,31398,31398,,65975.53
2025/03/06,31617,31617,,66471.92
2025/03/07,30809,30809,,64822.49
2025/03/10,30837,30837,,64911.56
2025/03/11,29868,29868,,62900.81
2025/03/12,29925,29925,,63355.59
2025/03/13,30119,30119,,63770.27
2025/03/14,29711,29711,,62949.87
2025/03/17,30448,30448,,64555.79
2025/03/18,30787,30787,,65305.66
2025/03/19,30493,30493,,64864.48
2025/03/21,30628,30628,,65207.07
2025/03/24,30806,30806,,65626.88
2025/03/25,31590,31590,,67374.04
2025/03/26,31484,31484,,67198.99
2025/03/27,31212,31212,,66685.32
2025/03/28,31218,31218,,66734.00
2025/03/31,30280,30280,,64755.15
2025/04/01,30512,30512,,65276.68
2025/04/02,30632,30632,,65553.39
2025/04/03,30425,30425,,65472.70
2025/04/04,28603,28603,,61609.87
2025/04/07,26851,26851,,57929.88
2025/04/08,27154,27154,,58586.86
2025/04/09,26296,26296,,56804.60
2025/04/10,29099,29099,,63251.30
2025/04/11,27452,27452,,59751.34
2025/04/14,27889,27889,,60815.18
2025/04/15,28191,28191,,61510.45
