date,rakuten-vti_start_100,rakuten-nasdaq_start_100
2025-05-19,119.30538290578974,124.2
2025-05-20,119.71597543978605,124.64
2025-05-21,118.46536331788901,123.29
2025-05-22,115.6665536595472,120.85
2025-05-23,116.08468000150675,121.50000000000001
2025-05-26,114.46867819339286,119.39999999999999
2025-05-27,114.16732587486345,119.09
2025-05-28,117.89656081666477,123.37
2025-05-29,118.82321919614269,124.51
2025-05-30,117.42569781896259,122.91000000000001
2025-06-02,117.13187930839644,122.58
2025-06-03,117.07537574867217,122.76
2025-06-04,118.8458206200324,124.75
2025-06-05,117.78732060119788,124.00999999999999
2025-06-06,117.97943270426036,123.91000000000001
2025-06-09,120.29984555693676,126.14000000000001
2025-06-10,120.23957509323087,126.19
2025-06-11,121.06452706520511,127.22
2025-06-12,120.05876370211324,126.03999999999999
2025-06-13,119.57659999246619,125.42999999999999
2025-06-16,119.27148076995518,124.99
2025-06-17,120.996722793536,127.34
2025-06-18,120.22074057332279,126.30999999999999
2025-06-19,119.9005537348853,125.93
2025-06-20,120.25087580517572,126.29999999999998
2025-06-23,120.92138471390363,126.77000000000001
2025-06-24,121.43368365540364,127.42999999999999
2025-06-25,122.29630466719404,128.79
2025-06-26,121.93844878894038,128.84
2025-06-27,122.79730289674917,129.85
2025-06-30,123.55068369307267,130.56
2025-07-01,123.17776019889253,130.39000000000001
2025-07-02,123.18529400685576,129.24
2025-07-03,123.7729310279881,130.14
2025-07-04,125.65638301879684,132.34
2025-07-07,125.46427091573436,132.14
2025-07-08,125.92006629751008,132.62
2025-07-09,126.60187591818284,133.45
2025-07-10,126.5265378385505,133.48
2025-07-11,127.536068105624,133.98000000000002
2025-07-14,127.30628696274533,134.02
2025-07-15,128.1802086864806,135.08
2025-07-16,128.6774400120541,136.49
2025-07-17,128.69627453196216,136.13
2025-07-18,129.6907371831092,137.32
2025-07-22,128.7000414359438,136.79
2025-07-23,127.98056277545487,135.19
2025-07-24,129.07673183410554,135.78
2025-07-25,129.84141334237393,136.97
2025-07-28,130.726635778054,137.61
2025-07-29,131.3707763589106,138.81
2025-07-30,130.7002674501827,138.27
2025-07-31,131.55158775002823,139.54999999999998
2025-08-01,132.2070290428297,140.1
2025-08-04,127.3025200587637,134.48
2025-08-05,128.71510905187026,136.38
2025-08-06,128.71510905187026,135.99
2025-08-07,129.61916600745846,137.76999999999998
2025-08-08,129.18597204957246,137.83
2025-08-12,130.75677100990694,139.78
2025-08-13,131.800203412815,141.05
2025-08-14,131.40467849474518,140.01
2025-08-15,132.0827212114363,140.83
2025-08-18,131.63822654160546,139.98999999999998
2025-08-19,132.04128526763853,140.37
2025-08-20,131.09202546427093,138.27
2025-08-21,130.54205748295476,137.25
2025-08-22,130.99785286473048,137.6
